date,open,close,high,low,volume
2014/9/17,11.564,11.391,11.704,11.197,89679
2014/9/18,11.331,11.397,11.624,10.997,70808
2014/9/19,11.371,11.83,12.05,11.344,130977
2014/9/22,11.73,11.664,12.064,11.61,78901
2014/9/23,11.724,11.93,12.064,11.424,117077
2014/9/24,11.844,11.99,12.13,11.757,91089
2014/9/25,11.937,11.884,12.084,11.65,93423
2014/9/26,11.85,11.737,11.864,11.464,69208
2014/9/29,11.697,11.657,11.884,11.61,44129
2014/9/30,11.331,11.091,11.331,10.804,109391
2014/10/8,11.464,11.531,11.784,11.264,73994
2014/10/9,11.597,11.557,11.664,11.424,32069
2014/10/10,11.431,11.617,11.737,11.397,38090
2014/10/13,11.597,11.524,11.61,11.264,25151
2014/10/14,11.517,11.431,11.57,11.364,20620
2014/10/15,11.337,11.231,11.337,11.104,34474
2014/10/16,11.317,11.004,11.317,11.004,21531
2014/10/17,11.037,10.717,11.184,10.717,26250
2014/10/20,10.757,10.884,10.904,10.704,17962
2014/10/21,10.831,11.057,11.097,10.777,20602
2014/10/22,11.037,10.597,11.037,10.584,20640
2014/10/23,10.744,10.597,10.744,10.531,15854
2014/10/24,10.631,11.104,11.164,10.631,30696
2014/10/27,11.237,10.971,11.264,10.904,19416
2014/10/28,10.984,11.151,11.217,10.931,18207
2014/10/29,11.197,11.504,11.55,11.077,37165
2014/10/30,11.531,11.251,11.59,11.231,25178
2014/10/31,11.231,11.364,11.464,11.177,37026
2014/11/3,11.337,11.264,11.457,11.217,32334
2014/11/4,11.331,11.137,11.337,10.997,23364
2014/11/5,11.064,11.511,11.57,10.997,36089
2014/11/6,11.484,11.65,11.81,11.464,57306
2014/11/7,11.584,11.284,11.717,11.271,32371
2014/11/10,11.297,11.344,11.73,11.264,30972
2014/11/11,11.297,10.964,11.337,10.671,30972
2014/11/12,10.964,10.937,10.964,10.704,15167
2014/11/13,10.944,11.064,11.164,10.677,24364
2014/11/14,11.024,10.864,11.064,10.737,13037
2014/11/17,10.864,10.904,10.917,10.617,27907
2014/11/18,10.871,10.844,11.057,10.731,15341
2014/11/19,10.864,10.904,11.011,10.864,13213
2014/11/20,10.864,10.844,10.911,10.751,11136
2014/11/21,10.844,10.897,10.997,10.804,17271
2014/11/24,11.044,10.784,11.044,10.664,36089
2014/11/25,10.784,10.824,10.897,10.717,24494
2014/11/26,10.824,10.751,10.844,10.724,23445
2014/11/27,10.757,10.631,10.791,10.564,41822
2014/11/28,10.637,10.877,10.904,10.584,52932
2014/12/1,10.864,10.717,10.944,10.597,33633
2014/12/2,10.691,10.691,10.817,10.611,23087
2014/12/3,10.717,10.511,10.757,10.371,44901
2014/12/4,10.524,10.517,10.631,10.451,48167
2014/12/5,10.517,10.064,10.537,9.931,56721
2014/12/8,10.098,9.958,10.271,9.938,42194
2014/12/9,9.931,9.404,9.931,9.351,59785
2014/12/10,9.464,9.658,9.658,9.264,36134
2014/12/11,9.578,9.731,9.751,9.531,41063
2014/12/12,9.731,10.164,10.164,9.724,43439
2014/12/15,10.251,10.224,10.264,9.991,40781
2014/12/16,10.217,10.131,10.217,10.004,22378
2014/12/17,10.124,9.818,10.124,9.764,28492
2014/12/18,9.818,9.784,9.911,9.604,22050
2014/12/19,9.764,9.531,9.764,9.398,23955
2014/12/22,9.398,8.785,9.631,8.651,40386
2014/12/23,8.765,8.651,8.924,8.585,20186
2014/12/24,8.924,8.991,9.024,8.745,20222
2014/12/25,9.018,9.011,9.198,8.891,17619
2014/12/26,9.071,9.064,9.164,9.018,15863
2014/12/29,9.118,9.071,9.151,8.964,15408
2014/12/30,9.091,8.924,9.118,8.798,16423
2014/12/31,8.924,9.731,9.818,8.785,55362
2015/1/5,9.671,9.678,9.864,9.498,28415
2015/1/6,9.631,9.511,9.631,9.324,25888
2015/1/7,9.558,9.724,9.858,9.518,23742
2015/1/8,9.718,9.718,9.784,9.624,17418
2015/1/9,9.698,9.664,9.771,9.611,14459
2015/1/12,9.598,9.584,9.631,9.451,12569
2015/1/13,9.591,9.964,10.038,9.524,33159
2015/1/14,9.964,9.778,9.991,9.738,17797
2015/1/15,9.778,9.724,9.824,9.638,12700
2015/1/16,9.658,9.671,9.798,9.558,20632
2015/1/19,9.651,9.338,9.771,9.304,19784
2015/1/20,9.404,9.644,9.678,9.404,13058
2015/1/21,9.658,9.784,9.911,9.544,23774
2015/1/22,9.711,10.131,10.204,9.711,61559
2015/1/23,10.124,9.898,10.544,9.884,104078
2015/1/26,9.771,9.731,9.771,9.498,56832
2015/1/27,9.678,9.798,9.831,9.638,40874
2015/1/28,9.731,9.778,9.911,9.698,30777
2015/1/29,9.764,9.751,10.064,9.671,32506
2015/1/30,9.751,9.638,9.898,9.558,22719
2015/2/2,9.658,9.664,9.731,9.551,19569
2015/2/3,9.664,9.451,9.664,9.371,39132
2015/2/4,9.458,9.351,9.491,9.318,34659
2015/2/5,9.344,9.231,9.431,9.111,47323
2015/2/6,8.338,8.311,8.631,8.311,105820
2015/2/9,8.118,8.345,8.551,7.865,93348
2015/2/10,8.125,8.065,8.245,7.998,56355
2015/2/11,8.011,8.178,8.185,7.905,59749
2015/2/12,8.131,8.138,8.211,8.065,59521
2015/2/13,8.185,8.338,8.471,8.178,74814
2015/2/16,8.431,8.558,8.585,8.331,59912
2015/2/17,8.665,8.558,8.778,8.511,59942
2015/2/25,8.658,8.411,8.658,8.371,55869
2015/2/26,8.398,8.538,8.565,8.351,52798
2015/2/27,8.565,8.785,8.838,8.505,69665
2015/3/2,8.765,8.871,8.884,8.645,70179
2015/3/3,8.831,8.771,8.958,8.731,62070
2015/3/4,8.911,8.878,8.971,8.765,53376
2015/3/5,8.904,8.878,8.958,8.798,50596
2015/3/6,8.904,9.558,9.731,8.898,200006
2015/3/9,9.571,10.384,10.391,9.571,228881
2015/3/10,10.391,10.344,10.804,10.098,152658
2015/3/11,10.364,10.931,11.097,10.344,161062
2015/3/12,10.931,10.631,11.104,10.471,104437
2015/3/13,10.617,10.264,10.664,10.118,101558
2015/3/16,10.331,10.677,10.911,10.331,98630
2015/3/17,10.697,11.024,11.411,10.697,133055
2015/3/18,10.997,11.131,11.311,10.804,88252
2015/3/19,11.131,11.004,11.137,10.851,53566
2015/3/20,10.997,11.091,11.297,10.857,83212
2015/3/23,11.091,11.171,11.264,10.937,97289
2015/3/24,11.177,10.931,11.204,10.464,98111
2015/3/25,10.917,11.511,11.697,10.831,136712
2015/3/26,11.491,12.23,12.337,11.337,163461
2015/3/27,11.997,12.31,12.397,11.964,106788
2015/3/30,12.25,12.47,13.33,11.897,124731
2015/3/31,12.477,12.764,13.017,12.33,81404
2015/4/1,12.63,13.19,13.317,12.63,69655
2015/4/2,13.197,13.263,13.33,12.784,79098
2015/4/3,13.223,13.983,14.003,12.997,128497
2015/4/7,13.95,13.71,13.997,13.33,146227
2015/4/8,13.61,14.53,14.756,13.377,110556
2015/4/9,14.463,14.583,15.31,13.863,81290
2015/4/10,14.49,14.543,14.996,14.163,68935
2015/4/13,14.49,14.263,14.81,14.183,100710
2015/4/14,14.29,13.837,14.323,13.717,58524
2015/4/15,13.797,14.017,15.03,13.25,92340
2015/4/16,13.55,14.09,14.596,13.383,57049
2015/4/17,14.09,14.117,14.49,13.897,60695
2015/4/20,14.07,13.617,14.07,13.363,66754
2015/4/21,13.257,13.743,13.883,13.257,56331
2015/4/22,13.617,14.276,14.41,13.617,71042
2015/4/23,14.276,14.896,14.93,14.276,109304
2015/4/24,14.896,15.929,16.049,14.716,120473
2015/4/27,16.056,16.276,16.876,15.569,118012
2015/4/28,16.356,15.929,16.583,15.749,74481
2015/4/29,15.863,15.996,16.383,15.823,71193
2015/4/30,16.323,17.596,17.596,16.016,163499
2015/5/4,18.082,17.329,18.122,17.316,82422
2015/5/5,17.862,17.956,18.349,17.029,68607
2015/5/6,17.842,17.116,17.842,16.996,81006
2015/5/7,17.096,15.783,17.096,15.483,70037
2015/5/8,15.783,16.289,16.389,15.31,57427
2015/5/11,15.483,16.336,16.343,15.17,133935
2015/5/12,16.003,16.143,16.256,15.809,86078
2015/5/13,16.169,16.796,17.309,16.169,120097
2015/5/14,16.683,16.882,17.716,16.669,120345
2015/5/15,16.882,18.196,18.409,16.543,170886
2015/5/18,18.169,18.895,19.402,17.716,153163
2015/5/19,18.662,19.302,19.402,18.029,90757
2015/5/20,19.275,19.442,20.862,19.055,141724
2015/11/23,17.496,17.496,17.496,17.496,2277
2015/11/24,15.749,15.749,15.749,15.749,5320
2015/11/25,15.549,16.123,17.129,14.716,626835
2015/11/26,15.336,15.056,15.656,15.003,340870
2015/11/27,14.663,14.197,14.896,13.637,222427
2015/11/30,14.07,14.556,14.81,13.83,172408
2015/12/1,14.336,13.943,14.763,13.803,142662
2015/12/2,13.75,13.03,13.863,12.717,129076
2015/12/3,13.21,13.63,13.737,13.063,91860
2015/12/4,13.597,13.997,14.53,13.497,154914
2015/12/7,14.063,15.396,15.396,14.003,219001
2015/12/8,14.996,14.583,15.196,14.336,170658
2015/12/9,14.33,14.163,14.916,14.137,118451
2015/12/10,14.13,13.803,14.15,13.537,81308
2015/12/11,13.95,14.436,14.496,13.697,85245
2015/12/14,14.276,14.49,14.503,14.15,66062
2015/12/15,14.656,14.623,14.783,14.47,56979
2015/12/16,14.596,14.183,14.603,14.043,89211
2015/12/17,14.336,14.463,14.596,14.236,78384
2015/12/18,14.363,14.823,15.05,14.343,108561
2015/12/21,14.823,14.936,15.243,14.676,90272
2015/12/22,15.07,14.963,15.223,14.696,72129
2015/12/23,14.896,15.856,16.436,14.83,164516
2016/7/15,14.27,14.27,14.27,14.27,10372
2016/7/18,12.844,12.844,12.844,12.844,10071
2016/7/19,11.977,11.957,12.517,11.744,323546
2016/7/20,11.73,11.964,12.23,11.67,182448
2016/7/21,12.03,11.73,12.03,11.71,120493
2016/7/22,11.697,11.371,11.797,11.337,111857
2016/7/25,11.411,11.644,11.69,11.344,91485
2016/7/26,11.65,11.69,11.69,11.437,64250
2016/7/27,11.697,10.837,11.71,10.544,105358
2016/7/28,10.791,10.631,10.944,10.331,80957
2016/7/29,10.744,11.697,11.697,10.744,192472
2016/8/1,11.797,12.717,12.87,11.77,341476
2016/8/2,12.604,12.457,12.61,12.07,216155
2016/8/3,12.33,12.764,12.95,12.13,219036
2016/8/4,12.564,12.51,12.897,12.31,155764
2016/8/5,12.37,12.004,12.37,11.997,119718
2016/8/8,11.984,12.124,12.257,11.55,126396
2016/8/9,12.064,12.004,12.13,11.87,87564
2016/8/10,11.997,12.41,12.65,11.937,142312
2016/8/11,12.264,12.004,12.317,11.93,90034
2016/8/12,12.05,12.11,12.31,12.004,70108
2016/8/15,12.177,12.25,12.31,11.877,93842
2016/8/16,12.257,12.764,12.857,12.257,160307
2016/8/17,12.764,12.53,12.797,12.437,98178
2016/8/18,12.484,13.43,13.757,12.43,195296
2016/8/19,13.223,13.603,13.93,13.163,161508
2016/8/22,13.443,14.263,14.736,13.197,158773
2016/8/23,14.263,14.736,15.296,13.93,190130
2016/8/24,14.583,14.583,14.956,14.383,116304
2016/8/25,14.463,14.743,14.916,14.13,120006
2016/8/26,14.63,14.41,14.783,14.336,80916
2016/8/29,14.33,14.123,14.616,14.083,66273
2016/8/30,13.93,14.143,14.316,13.863,69778
2016/8/31,14.083,14.93,14.93,14.017,108871
2016/9/1,14.996,14.57,15.396,14.57,112748
2016/9/2,14.736,14.716,14.963,14.197,79944
2016/9/5,14.743,14.51,15.056,14.403,63493
2016/9/6,14.53,14.896,15.023,14.436,106651
2016/9/7,14.763,14.71,14.876,14.63,61069
2016/9/8,14.663,14.503,14.85,14.33,53240
2016/9/9,14.49,14.543,14.596,14.13,58548
2016/9/12,14.383,14.416,14.903,14.21,77275
2016/9/13,14.343,14.27,14.65,14.163,36992
2016/9/14,14.27,13.93,14.47,13.93,42920
2016/9/19,14.117,14.163,14.316,13.997,36591
2016/9/20,14.203,15.583,15.583,14.203,177612
2016/9/21,15.609,15.716,15.896,15.136,171836
2016/9/22,15.863,15.47,16.109,15.463,141736
2016/9/23,15.663,15.749,15.869,15.336,92730
2016/9/26,15.756,16.663,16.962,15.603,224038
2016/9/27,16.416,16.109,16.656,15.736,120830
2016/9/28,15.869,16.176,16.303,15.569,74147
2016/9/29,16.456,15.909,16.962,15.736,117759
2016/9/30,15.649,16.209,16.276,15.47,76268
2016/10/10,16.329,17.456,17.649,16.329,140467
2016/10/11,17.289,17.242,17.589,16.862,118038
2016/10/12,17.209,17.496,17.662,16.989,123676
2016/10/13,17.496,17.289,17.729,17.129,73825
2016/10/14,17.062,17.369,17.449,16.849,65970
2016/10/17,17.316,17.349,17.596,17.156,72380
2016/10/18,17.356,17.402,17.582,17.202,53896
2016/10/19,17.449,17.302,17.556,17.082,49388
2016/10/20,17.329,17.369,17.442,17.042,74849
2016/10/21,17.369,17.142,17.436,17.142,35874
2016/10/24,17.242,17.376,17.662,17.229,47187
2016/10/25,17.362,17.189,17.382,16.996,40913
